ID Number,Department,Management level,Tenure,Gender,Individual,Group,Organization
D1R187,1,1,2,2,-1.164,0.027,-1.742
D1R66,1,1,3,2,0.46,0.195,0.41
D1R69,1,1,3,1,-0.455,0.404,-1.303
D2R102,2,2,1,1,-0.012,-0.114,-0.061
D2R103,2,1,1,1,1.455,1.859,2.026
D2R104,2,2,1,1,0.797,0.871,1.046
D2R105,2,2,1,1,-0.227,-0.234,-0.645
D2R106,2,2,1,1,-1.524,-1.148,-0.39
D2R109,2,2,1,2,0.36,0.816,0.759
D2R112,2,2,1,2,0.276,-0.066,-1.116
D2R114,2,2,1,2,0.11,0.489,1.137
D2R119,2,2,2,2,-0.457,-1.207,-1.789
D2R133,5,2,1,2,0.562,1.151,0.173
D2R137,3,3,2,2,0.342,0.616,-1.383
D2R146,2,2,1,1,0.372,-0.998,-1.285
D2R154,2,2,1,1,0.136,0.348,-0.194
D2R167,2,2,3,1,-1.399,-0.536,-0.021
D2R172,2,2,1,1,-0.273,0.25,0.159
D2R174,2,2,1,1,-0.525,0.035,-0.179
D2R195,2,2,1,1,0.112,0.653,0.781
D2R20,2,2,2,1,-1.148,-1.14,-0.699
D2R200,2,1,2,1,-0.214,0.03,0.289
D2R203,2,2,2,1,-0.558,-1.202,-1.166
D2R205,2,2,1,2,1.564,0.124,0.206
D2R31,2,3,2,1,0.849,-0.006,0.025
D2R37,2,2,1,2,0.984,-0.076,0.682
D2R40,2,2,2,1,1.564,1.277,0.729
D2R41,2,2,2,2,1.366,-0.571,-0.643
D2R47,2,2,1,1,-1.833,-1.545,-0.703
D2R58,2,2,2,1,-0.41,0.43,0.39
D2R61,2,1,2,2,0.123,0.325,0.136
D2R76,2,2,1,1,0.598,0.928,1.134
D2R82,2,1,2,1,0.483,-0.456,-0.809
D2R85,2,1,1,1,-0.485,0.548,-0.527
D2R91,2,2,1,2,-0.175,0.649,0.995
D2R92,2,2,2,1,1.009,1.449,-0.38
D3R10,3,1,2,2,-0.018,-0.852,-0.682
D3R13,3,2,1,1,-0.029,-0.667,-0.159
D3R132,4,2,1,1,0.217,0.508,0.493
D3R135,2,2,3,1,-1.344,-0.913,-1.222
D3R139,3,2,3,2,0.018,-0.08,-0.39
D3R14,3,3,2,1,-1.534,-1.859,-1.186
D3R144,3,1,2,1,-0.097,-0.51,-0.179
D3R153,3,2,1,1,-0.178,0.842,-0.79
D3R16,3,2,1,1,-0.969,-2.877,-1.434
D3R162,3,2,1,1,0.773,1.231,1.123
D3R164,3,2,1,1,0.511,1.404,1.569
D3R170,3,2,3,2,-0.89,-1.257,-1.066
D3R192,3,2,1,1,0.025,-0.298,1.039
D3R2,3,1,2,2,0.032,0.037,1.137
D3R22,3,1,3,1,-1.742,-2.786,-1.971
D3R34,3,2,1,2,-0.807,0.058,-0.04
D3R39,3,2,1,2,0.821,-0.093,0.465
D3R64,3,2,1,1,-0.233,-0.023,-1.629
D3R73,3,3,3,1,-3.384,-2.381,-1.523
D3R77,3,2,2,2,-4.052,-2.895,-2.656
D3R79,3,1,1,1,0.652,0.51,-0.463
D3R90,3,2,3,2,0.258,0.382,0.452
D3R97,3,1,1,1,-2.387,-2.407,-3.075
D4R115,4,2,3,2,-1.15,-1.498,-0.946
D4R12,4,2,3,2,-0.38,-1.344,0.102
D4R121,4,2,1,2,1.132,0.628,0.627
D4R128,3,2,1,2,1.135,0.985,0.717
D4R131,2,2,1,2,-1.284,-0.531,-1.006
D4R140,4,1,2,2,0.521,-0.466,0.685
D4R149,4,1,3,2,0.231,-0.369,0.144
D4R155,4,3,2,2,-0.658,-0.025,-0.02
D4R156,4,2,2,2,-0.196,-0.075,0.552
D4R158,4,1,3,2,1.468,0.829,0.714
D4R165,4,2,1,2,0.298,1.053,0.328
D4R176,4,2,2,2,-0.29,-0.381,0.548
D4R177,4,2,1,2,0.824,0.629,0.52
D4R181,4,2,1,2,1.014,0.854,0.522
D4R189,4,1,3,2,1.043,0.128,0.724
D4R198,4,2,1,2,0.322,0.402,0.702
D4R45,4,2,3,1,0.32,0.767,0.047
D4R48,4,2,2,1,0.766,0.98,0.189
D4R5,4,2,1,2,0.865,1.074,1.38
D4R53,4,2,1,2,1.564,0.219,0.995
D4R57,4,2,1,2,-1.207,-0.52,-1.042
D4R59,4,2,2,1,0.376,0.014,1.13
D4R68,4,2,1,2,1.026,1.788,0.788
D4R70,4,2,2,2,0.237,0.105,0.726
D4R80,4,1,3,1,0.441,0.375,1.078
D4R81,4,2,2,2,0.701,0.744,1.137
D4R83,4,2,1,2,0.53,0.885,-0.992
D4R86,4,3,2,1,0.55,1.258,0.464
D4R93,4,2,1,2,0.238,0.258,0.625
D5R100,5,2,1,1,-0.334,0.055,-0.466
D5R122,5,1,3,2,0.703,0.857,0.603
D5R136,5,1,3,2,1.265,0.599,0.231
D5R141,5,2,1,1,-0.209,0.057,0.338
D5R143,5,2,1,1,1.564,1.859,2.086
D5R152,5,1,3,1,0.231,-0.507,-1.994
D5R168,5,3,1,1,-1.211,-0.911,-0.707
D5R180,5,2,1,1,1.052,1.542,1.058
D5R186,5,3,3,2,0.599,0.419,0.775
D5R201,5,2,1,1,1.44,0.959,1.917
D5R25,5,2,3,2,0.703,0.38,0.155
D5R32,5,2,1,1,0.266,0.016,1.243
D5R50,5,1,2,1,-0.936,-1.202,-1.043
D5R52,5,2,2,1,-0.302,0.01,0.808
D5R54,5,1,3,1,-0.594,-0.025,0.031
D5R55,5,2,1,1,-0.783,-2.22,-0.759
D5R65,5,1,2,1,-1.658,-1.302,-1.252
D5R7,5,2,1,1,-1.602,-0.504,-0.54
D5R74,5,2,3,1,0.562,1.02,1.402
D5R87,5,2,1,1,0.622,0.688,-0.288
D5R99,5,2,1,1,-0.121,0.196,1.106
