,D3R2,D4R5,D5R7,D3R10,D4R12,D3R13,D3R14,D3R16,D2R20,D3R22,D5R25,D2R31,D5R32,D3R34,D2R37,D3R39,D2R40,D2R41,D4R45,D2R47,D4R48,D5R50,D5R52,D4R53,D5R54,D5R55,D4R57,D2R58,D4R59,D2R61,D3R64,D5R65,D1R66,D4R68,D1R69,D4R70,D3R73,D5R74,D2R76,D3R77,D3R79,D4R80,D4R81,D2R82,D4R83,D2R85,D4R86,D5R87,D3R90,D2R91,D2R92,D4R93,D3R97,D5R99,D5R100,D2R102,D2R103,D2R104,D2R105,D2R106,D2R109,D2R112,D2R114,D4R115,D2R119,D4R121,D5R122,D4R128,D4R131,D3R132,D2R133,D3R135,D5R136,D2R137,D3R139,D4R140,D5R141,D5R143,D3R144,D2R146,D4R149,D5R152,D3R153,D2R154,D4R155,D4R156,D4R158,D3R162,D3R164,D4R165,D2R167,D5R168,D3R170,D2R172,D2R174,D4R176,D4R177,D5R180,D4R181,D5R186,D1R187,D4R189,D3R192,D2R195,D4R198,D2R200,D5R201,D2R203,D2R205
D3R2,6,0,1,0,1,2,4,2,1,2,1,2,1,2,1,2,1,3,1,1,4,2,1,6,2,1,1,1,1,3,5,1,3,1,2,0,2,1,1,2,0,0,1,1,1,1,2,1,2,3,1,1,2,1,1,1,1,1,1,1,1,1,3,1,3,2,1,2,2,1,0,1,3,1,4,1,1,1,5,1,2,2,2,1,0,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,0,3,1,1,1
D4R5,1,6,1,4,2,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,6,2,1,4,1,1,6,1,1,1,3,1,4,4,2,1,1,1,1,4,2,3,5,2,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,5,1,2,1,1,5,2,1,2,3,6,2,1,1,4,5,2,1,2,2,1,1,1,1,1,1,3,4,6,1,4,6,2,1,5,1,1,1,2
D5R7,1,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,6,2,1,2,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,2,2,2,1,2,2,2,2,1,2,3,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,2,2,1,1,1,1,1,2,1,1
D3R10,6,2,2,6,2,2,6,2,2,6,4,2,3,2,1,2,3,2,2,1,1,6,3,5,3,2,2,2,1,2,4,2,6,1,3,1,6,4,1,3,6,2,2,3,1,1,2,2,2,1,3,2,6,5,2,2,1,3,2,2,2,1,1,2,2,1,6,2,3,1,1,2,6,6,2,2,3,2,6,1,6,6,2,1,2,2,2,2,2,1,2,4,2,1,1,3,2,4,2,6,3,6,2,2,2,2,2,2,1
D4R12,1,1,1,3,6,3,5,1,4,1,1,1,1,1,5,1,1,5,3,1,4,1,1,3,1,1,3,5,3,1,2,1,4,5,3,3,2,4,1,1,1,3,4,3,3,1,3,1,4,1,4,2,1,1,1,1,1,1,3,4,1,1,1,4,3,3,4,1,5,1,3,1,4,1,1,3,1,1,3,3,5,1,1,1,5,4,4,1,1,4,1,1,1,1,1,3,5,1,5,3,3,5,1,2,3,5,1,3,1
D3R13,3,1,1,2,4,0,2,3,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,2,2,4,1,1,1,1,1,1,2,2,1,1,2,5,1,1,1,1,1,2,2,1,2,1,1,1,2,1,5,1,1,1,2,1,3,1,1,1,2,1,2,4,2,1,1,4,1,4,2,1,1,1,2,1,1,1,1,1,5,3,2,1,2,1,1,1,1,1,1
D3R14,4,1,1,5,4,3,6,5,3,4,2,2,1,2,2,2,1,2,1,1,2,1,1,4,2,2,4,3,2,2,2,2,3,4,3,3,4,4,1,3,4,3,1,2,1,1,2,1,2,4,4,2,4,2,1,1,4,1,2,3,1,1,3,2,3,4,3,1,4,1,3,1,3,3,3,1,2,1,5,3,3,3,3,1,4,3,2,4,3,4,2,1,3,1,1,2,3,1,4,2,4,4,2,1,4,3,3,4,1
D3R16,1,1,1,2,1,3,6,6,3,3,1,1,1,2,2,1,1,1,1,1,1,1,1,4,1,1,1,3,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,5,3,1,1,1,6,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,3,2,1,5,1,2,2,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,1
D2R20,2,1,1,2,2,2,2,2,6,2,2,3,1,2,2,2,2,2,1,3,4,1,1,2,1,1,1,4,2,2,2,2,4,2,3,2,2,1,3,2,2,1,1,3,2,3,2,1,2,3,6,2,2,2,1,2,6,2,4,4,3,2,3,2,3,1,2,2,2,3,1,1,5,1,2,1,3,1,2,4,2,3,2,2,2,2,2,2,2,2,3,1,2,3,2,2,2,2,1,1,3,3,2,2,2,2,1,3,2
D3R22,3,4,1,4,2,2,4,3,2,6,5,2,1,4,3,1,1,3,1,1,3,4,5,4,3,3,3,4,1,2,4,2,3,1,2,1,3,3,2,4,5,1,4,2,1,1,2,1,2,1,3,1,3,2,5,1,3,1,3,2,3,1,1,3,2,1,3,1,3,1,1,3,2,3,4,4,4,1,3,3,3,5,0,1,1,3,3,3,3,1,2,1,3,1,1,1,1,2,4,4,3,3,1,2,1,3,3,1,2
